TeamID,TeamName,Seed,R32_Prob,Sweet16_Prob,Elite8_Prob,Final4_Prob,Champ_Prob
1181,Duke,1,0.9918,0.9128,0.8322,0.721,0.3789
1276,Michigan,1,0.9913,0.8267,0.6375,0.436,0.1287
1112,Arizona,1,0.9917,0.8495,0.6053,0.3819,0.121
1345,Purdue,2,0.9599,0.8184,0.5838,0.3192,0.0855
1235,Iowa State,2,0.961,0.8161,0.6271,0.3246,0.0672
1228,Illinois,3,0.9234,0.78,0.5297,0.3184,0.0576
1196,Florida,1,0.9925,0.7577,0.5017,0.2816,0.043
1116,Arkansas,4,0.8785,0.6602,0.274,0.123,0.0201
1435,Vanderbilt,5,0.7739,0.5573,0.2808,0.1393,0.016
1222,Houston,2,0.9584,0.691,0.3201,0.1542,0.016
1211,Gonzaga,3,0.9096,0.6506,0.2719,0.111,0.0153
1163,Connecticut,2,0.9572,0.7051,0.4009,0.0942,0.0116
1104,Alabama,4,0.8622,0.5774,0.2,0.0926,0.0096
1277,Michigan State,3,0.9005,0.526,0.2739,0.0618,0.0066
1257,Louisville,6,0.7085,0.3881,0.2062,0.0427,0.0041
1438,Virginia,3,0.9039,0.5645,0.186,0.0531,0.0032
1385,St. John's (NY),5,0.7642,0.5401,0.0794,0.034,0.0021
1403,Texas Tech,5,0.6899,0.3254,0.0819,0.0298,0.0017
1234,Iowa,9,0.5891,0.1733,0.0783,0.0277,0.0013
1326,Ohio State,8,0.6163,0.0689,0.0409,0.0183,0.0012
1304,Nebraska,4,0.8627,0.3706,0.1103,0.0337,0.0012
1458,Wisconsin,5,0.6846,0.2634,0.0604,0.0174,0.0011
1140,Brigham Young,6,0.5863,0.212,0.0557,0.0138,0.0008
1429,Utah State,9,0.5759,0.1089,0.0406,0.0115,0.0008
1387,Saint Louis,9,0.5405,0.1128,0.048,0.0159,0.0007
1274,Miami - Florida,7,0.6439,0.1341,0.0501,0.0113,0.0007
1275,Miami (OHIO),11,0.4055,0.1687,0.042,0.0113,0.0005
1397,Tennessee,6,0.5945,0.2524,0.0668,0.0149,0.0005
1417,UCLA,7,0.6536,0.2232,0.0842,0.0119,0.0005
1388,Saint Mary's (CA),7,0.6172,0.2056,0.0571,0.0159,0.0004
1242,Kansas,4,0.8555,0.3722,0.0398,0.012,0.0004
1246,Kentucky,7,0.5873,0.1148,0.0511,0.01,0.0003
1433,Virginia Commonwealth,11,0.4517,0.1018,0.0369,0.0098,0.0002
1301,North Carolina State,11,0.1985,0.062,0.0131,0.0028,0.0002
1208,Georgia,8,0.4595,0.0602,0.0212,0.0059,0.0002
1314,North Carolina,6,0.5483,0.1137,0.0361,0.0087,0.0002
1400,Texas,11,0.2153,0.0687,0.0148,0.0033,0.0001
1155,Clemson,8,0.4109,0.0689,0.0225,0.0054,0.0001
1103,Akron,12,0.3101,0.078,0.0105,0.002,0.0
1270,Mcneese State,12,0.2261,0.0629,0.0061,0.0008,0.0
1281,Missouri,10,0.3561,0.0445,0.0103,0.0012,0.0
1295,North Dakota State,14,0.0995,0.0094,0.0006,0.0,0.0
1254,Long Island University,16,0.0083,0.0002,0.0,0.0,0.0
1224,Howard,16,0.0021,0.0,0.0,0.0,0.0
1220,Hofstra,13,0.1378,0.0192,0.0009,0.0001,0.0
1219,High Point,12,0.3154,0.0608,0.0082,0.0011,0.0
1202,Furman,15,0.0428,0.003,0.0002,0.0,0.0
1218,Hawai'i,13,0.1215,0.0155,0.0004,0.0,0.0
1244,Kennesaw State,14,0.0904,0.0066,0.0001,0.0,0.0
1250,Lehigh,16,0.0047,0.0001,0.0,0.0,0.0
1225,Idaho,15,0.0416,0.0024,0.0002,0.0,0.0
1320,Northern Iowa,12,0.2358,0.0736,0.002,0.0002,0.0
1398,Tennessee State,15,0.039,0.0023,0.0002,0.0,0.0
1395,Texas Christian,9,0.3837,0.0178,0.0055,0.0011,0.0
1378,South Florida,11,0.2915,0.0765,0.0185,0.0015,0.0
1374,Southern Methodist,11,0.0,0.0,0.0,0.0,0.0
1335,Pennsylvania,14,0.0766,0.0045,0.0002,0.0,0.0
1341,Prairie View A&M,16,0.0028,0.0,0.0,0.0,0.0
1365,Santa Clara,10,0.4127,0.0667,0.0265,0.0038,0.0
1373,Siena,16,0.0082,0.0004,0.0,0.0,0.0
1420,Maryland-Baltimore County,16,0.0066,0.0003,0.0,0.0,0.0
1416,Central Florida(UCF),10,0.3464,0.0687,0.0155,0.0013,0.0
1401,Texas A&M,10,0.3828,0.101,0.0198,0.0045,0.0
1407,Troy St.,13,0.1373,0.0092,0.0002,0.0,0.0
1437,Villanova,8,0.4241,0.0414,0.0112,0.0025,0.0
1460,Wright State,14,0.0961,0.0144,0.0004,0.0,0.0
1465,California Baptist,13,0.1445,0.0141,0.0002,0.0,0.0
1474,Queens (NC),15,0.0401,0.003,0.0001,0.0,0.0
